product_name,title,stars,body
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Best pick in this Budget,5.0,"The media could not be loaded.
                




   Sound quality 5/5Noise cancellation 4/5Bass quality 4.5 / 5Best headphones in this budget.Long lasting.I am ordering this headphone 2 nd time. my 1st headphones lasted for 2 years with 3-4 hours daily usage for office calls.It’s tangle free only problem is dust is accumulated on it over the period of 2 years and you need to clean it occasionally.I have ordered blue colour and look wise it’s very vibrant and beautiful."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Worstest service in India,1.0,It works properly for just 3 months after it bacames worst than any thing else after claiming my warranty it took to clear 1 month. Even after I got some others used earphone which is also not working. I'm fed up with this earphone now I'm using just for listening songs it isn't working in any call. So while purchasing read review.
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),"Good, but Boosted unnatural bass effect",3.0,"Looking at lot of good reviews, I think the opinion probably differs with people.. Sound quality is definitely better than any low profile earphones, but bass quality seems to be so unnatural, boosted to much that gives pain in the ears.Pros: Ear piece stick to the ear comfortably, Sound quality is decent enough, call quality is goodCons: Boosted bass sound spoils the original music (some may like it) it hurts the ear drum in short time of listening to the songs. `This is the first day review, if my opinion change after some days of usage, will get back to change the rating."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Here are some pros nd cons,2.0,"Here are some pros nd consBass quality goodQuality wise is bestNoice cancellation not so goodI think little bit pricy because i got for 550RSAfter usage of 2 month it was not working from one sideNd this problem happened with 2 of my same product (Boat bassheads 242)After that i call Amazon customer care after 10-15 minutes wait they pic up the call nd told me that I wasn't able to helped you .Firstly you should call on Boat customer care number nd here i call them again after 10 minutes they picked up the call they told me file a complaint against the product nd then we pic up your product nd then it goes to our department house where we are checking what's is the problem nd then we ship your productThis process complete around 18-20 daysIt's make me anxious , whatever i go with them  , let's see what happenThink twice before investing your money 💰"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Avoidable purchase - no reply at warranty complaint,1.0,"On the 7th day the callers voice started cracking, thought it was network issue but later found it was same condition. 9th day caller n me couldn't hear each other. couldn't return/exchange - window closed. Warranty centre closed, no reply from the email id sent to imagine marketing India ."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Mic and buttons stopped working,1.0,"Great earphone, I purchased in ₹549, though currently it is available in ₹499 . Little disappointed.Sound is amazing, cable is not that great, there are 3 buttons available. It is better than mi basic earphone that comes in 399/-You can go for it without any doubt.Edit :-After 7 months of use suddenly it's mic has stopped working and in single attempt it doesn't connect with phone and I have to unplug and plug again to connect with phone. Mic and the buttons stopped working and this is the biggest issue with these earphone. Although sound output is still good. Just after warranty expires its mic stopped working, thats ridiculous with Boat.It also don't have L shaped connector like mi basic earphone, so it's not comfortable while Playing games and connecting to laptop."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),"Don't think twice, Buy it. It's worth the Price",5.0,"Purchased at 399.Absolutely beast at this price range, and it perform even better with Dolby Atmos. Sound is very loud, bass is just what Indians likes. I normally listen it on 70% to 80% Sound. They are very comfortable to wear the wings don't let the earpiece fall.I have used Sony MDR XB55AP its sound is comparable to this Boat handsfree. I mean Punchy Bass and loud noise. I have Used a range of handsfree from Samsung AKG, Senheizer, Noise, Sony, Motorola, JBL & Philips. In all of these the Bass was main concern except the Sony one and none of them come at this price range.So if you are looking for a cheap handsfree with powerful Bass, punchy sound, crystal clear Voice with noise cancelation, mic and also multi function button with Volume rocker. I would say Go for it.It works with all smartphone that support 3.5mm jack and yes It has zero lag for Game sound like PUBG and COD. So it's also good for playing Battle Royal Games."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Biggest ever BAD.,1.0,"Mids r sharp, painful in ear, not clear vocals and treble. Bass good not best. Plastic used cheap quality. The ear fitting and design very bad for ear. Wire is one side in bud so that it pain ear. Very sharp and thin treble audio and bass is not matching. Very unfit and painful for ear cheap plastic quality design. Artis 400m is much better than this atleas clear vocals and 15mm driver. Money vaste product. Everyone who giving it 5 star even don't know about audio technologies."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Broken product in such a short period of purchasing.,1.0,"Product is good. Sound is good. In short this is nice product. But as u now can see on the pictures this happened with me with this product. One side of earplug is automatically came out from its wire. & This is soo heartbroken.So all I want Plz replace this product, so I can enjoy my music. I am your regular customer.Hoping & waiting for a positive response from Amazon/boat India.Thanks"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),The quality of sound is good but the companies services are worst,1.0,"The media could not be loaded.
                




   I bought this product in blue color while it suddenly stopped working after few months and I decided to send it to customer service where I came to know whatever they mention on their website is nothing true nobody comes pick up ghe product ans replace u have to go to the service center crowded with lots of people where they just asked me to fill a form and without even checking the issue just gave me another product which was kept in plastic they asked me to check and take it. I was satisfied but just in few days this replaced product started falling apart. Rubbish now I have to go again and wait for 2 hours to get this solved"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),It Was Okay?! But I Prefer Realme buds 2,3.0,"My review after 10 days of heavy usage, and I'm comparing it with my previous Realme buds 2.1. sound quality, its good not that bad, but when my friend heard music from my earphones he commented "" Such a Bad Bass "".And even i think it doesn't have good bass2nd Noice Cancellations, uhm maybe it's better than Realme buds 2 in my opinion3rd build quality, I literally liked its build quality, I mean uhm.. I guess wires are really durable and I hope it lasts for a longer than Realme buds 2, my Realme buds 2 lasted for more than a year and was damaged from the button area, wires got damaged and maybe it's because I keep them in my pocket all the time, which reminds me of4. Dude ! The only reason why I really hate these earphones are  its Really, Really, Really Very Uncomfortable even after 10 days, my ears are still Paining... I was thinking about removing the rubber thing but I usually go for running so I need thatAnd it get tangled a lot ( I keep them in my pockets ).The only Reason why I bought this is because 1 year warranty, but honestly I'm regretting I should have really gone for Realme buds 2 they were awesome, Comfortable, good sound quality ( not excellent obviously, but better than these earphone ), and because of those magnetic tips it used to get tangled very Rarely,.If anyone reading this review, wondering about should you buy it or not then... Uhmm... Honestly give Realme buds 2 a try or even if you are purchasing it I hope it doesn't hurt your ear, anyways Good Luck !"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Uncomfortable and Horrible product,1.0,"It is one of the worst headphones I have ever used in my whole life. I wanted to get one for my calls and some light music and unfortunately fell for the reviews on this product which are a gimmick BTW. The product build quality is quite cheap, worse than those cheap Chinese headphones. They are not at all comfortable for long or even short use because once you put them, it hurts your ears. I had to end up buying another pair of headphones to get rid of these cheap and horrible product. If you are looking for comfort, better music experience for long hours, better go for headphones which are having in ear buds similar to the shape of old Apple earphones. Such in ear headphones which blocks air passing to your ear are neither healthy not comfortable."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Seems like cheap/duplicate product,1.0,"The sound quality is just too pathetic.Cons:On call, we or the other person gets to hear echoSound quality seems like a sasta road-side product...too sharp unbearable notes can be heard while listening to online courses or music.The design is just so bad that it causes ear cartilage pain only after listening to 30 mins.Pros:Lookwise is good (but it no where covers up the above nuances)The seller is good. He gave me replace hassle free...but the replacement ear phones STILL has all the above issues. Only the echo issue has somewhat reduced."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),"Its good,but is it durable?",3.0,"The media could not be loaded.
                




   I bought this in October 2020 and writing the review in September 2021. Nearly 1 year of rough use. The sound quality is very good. Amazing noise cancellation. Fits snuggly in my ears. Since it's orange, I can find it when I forget where I kept them. But slowly wear and tears appeared. I have kept it working with cellotapes. Is it worth the money when it can fall apart with some rough use? Or are we supposed to use our earphones delicately?Anyway, I recommend it to music lovers. Others can try something cheaper."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Not suitable for regular music lovers. Ear is paining.,1.0,"I ordered this earphone keeping in view of the reviews. But within one day use, I found that this earphone can harm my ear. Some heating is experienced in both the ears, resulting pain. Found not suitable for regular music lovers. The sound quality,bass quality are not soothing to the ears. So want to replace it with other brand. But replacement with other brand is not available. What to do now. I wasted my 550/- rupees."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Average Product..,3.0,242 is not up to the mark. I already have Bass head 100 which is better than this one. Noice cancellation is not that much great. Only benefit I found is that it has inline mic with volume control.Good in bassTreble is above average but actually I found it a disturbing one compared to bass head 100.Fits in ear with ear clip.The additional clip for dress is also helpful.Good cord length and material is also good.Product wise it need improvement.Delivery and packing is fine.Thank you amazon
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Poor rating only for Bad Customer care service,2.0,"It's a great product considering its price. Good built quality, Sounds is clear and amazing deep bass.Unfortunately the right side stopped working after 2mnths. I have written to info@imaginemarketingindia.com but didn't get any response. Very disappointed :("
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),boat spend money on there sponsers not on costomers!!,1.0,the photo i attached is not my earphone!!! boat is worst company i ever see!!! here the story ↓↓↓i purchased this an earphone 2 months back for 550 bucks !! sound was not good mic is also not good just avrg!! but i was still using that earphone!! but after 1.5 months later it stops working! i claim for warranty!! i got my replacement in 20dayss.. that a big numbers but i bought another earphone in between this period cuz 20 day without earphone is difficult anyways!! i got my replacement today!! and earphone i got is not my not new its someone used earphone without rubber bud!!n i dont use second hand product!!! and the package is cheap!! seriously boat just spend money on there sponser not there costomers!!!
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Very bad service of Boat company,2.0,"I brought Boat 242 earphones last week.. Just in a week Right side speaker of earhone stopped working.. I tried to calling to centre, but number is not reachable.. Later i raised a ticket in their warrty claiming website.. Ticket got generated but no one has turned back to me.. Only the on package and specifications it is mentioned as one year warranty in reality no warranty.. If something goes wrong then it is yur mistake.. Im unable to understand wat has to be done to replace the product.. Amazon is also not taking it back.. Please if someone know solution for this please let me know..Product is pretty cool but Very very bad service."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),"NOT DURABLE,  GOT DAMAGED IN 2 MONTHS",5.0,"Sound quality is good,  bass quality is good too. Lookwise it is stylish and amazing. But this product is not DURABLE.Got it delivered on 30th september and it's hardly 2 months passed that it has stopped working yesterday. Till now I have purchased 5 Nos. of boat earphones. But I am unhappy with the last two purchases. Same issues with the previous one too,  stop working too soon.Initially, for me they use to be the best- better in quality as well as price but not anymore. Varients have increased with time but the quality didn't. Will not recommend anymore."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Everything Was Totally Truly L!T ... Awesome for listening only bcz it give Equalize song,5.0,"It was just an Awesome sets of earphone with accurate frequency point to listen a song ... Just replacing the ear caps, change the tune & frequency for the listener ...In small pair of ear caps you can hear pure Crystal Clear voice & only it focus on voiceIn medium pair of ear caps u get a sense of Equalize bass, drums, voice (as per song u have/make)In large if it will fit in your ear it will give u complete sense of isolation of song like an large hallIt work like as per a high-Quality headset become sounds as per there change of Padss Cusans ... It's awesome to have it ... Try it u goonna make sure it sense something else in every different ear pads"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Best in budget sport earphone,5.0,"If you want the best earphones in the price range of 500, go for this one for sure. The bass and the treble are amazing and you can feel it. Also the earclips provided fit and wont come off. Its like they juat glue to your ears and will never come off, unless you remove them. Fits perfectly.Cons- The build quality. It has a cheap Chinese plastic finish on it. My brother had the other black with red on the boat logo. It looked cheap and very bad. But for 399, what can you expect.So my recommendation would be to buy the carbon black one, as it looks much more better and more luxurious. But the price is 549, for the same earphones, of different colours. You get a metallic finish in this one, but you can spot out the plastic easily.Will keep on updating every month till one year, cause boat products last only one year and after that you have to buy a new one."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Sound is good but not the built,3.0,The built quality is too bad. Cheap plastic quality. Sound quality is decent and above average. I got this for Rs 399 during lightning deal but definitely not a Rs 450 or above product for the quality of plastic used.
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),100 % waste.,1.0,Very bad product . Sound clarity is too bad. Just some bass only. Never buy from amazon. If you happen to have a return then they wouldn’t refund you back.
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Malfunctioned and stopped working within 2 months.,1.0,"I bought this product in April 2021. Intially, it worked well but right after 3rd week it started malfunction. The volume from my phone started increasing and decreasing by itself when I moved the wire of the earphone. Also, it stopped working after 2 months. I filed a complaint to boat, they exchanged it with the same orange earphone. The new one did the same, followed the same pattern for two months then stopped working. I exchange again and same thing happened again. This time, I am exchanging the product for the 5th time and I am kind of sure it will be repeated this time too.I think the problem is only in this orange variant because I have the same earphone model in green colour and it works well.  BTW, on my experience boat products in general do not last more than 6 months. I would recommend you to choose a different brand and if you buy this product atleast do not choose orange colour."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Top Product in this price!,5.0,This is my review after using a month.Pros:- Easy fit- Good sound- Pretty good Noise cancellation- Provided a small clip to pin the wire to your shirt.Cons:- Can hear non stop for 40 minutes or a hour. then you can get slightly feel the pain. pain is good becasue it will notify to take rest for sometime :)Even though seller mentioned it is waterproof. but still i'm taking care of it by staying away from water and wiping the sweat often.You should buy it without second thought... Happy Purchase!
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Impressive so far,4.0,"Just got this after 1 day ( 1-01-2021), and i can say the quality of the earbuds isn't that great because it feels super plasticky, sound quality on the other hand is one of the best I've heard in this price, i also use realme buds2 and the sound is clearly better and clearer in this one, i listen to loads of EDM so this is on the same level or better than RealMe buds 2 in the bass department.Also the earplugs for extra fitting can be removed, i personally find them irritating so thank god for that, so far so good & will update in the future (Update 8-06-2021, left earpiece has stopped working, i never used it harshly but still it stopped working, it's been happening with every earphone i buy, max use time is 5-7 months)"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Shitty product,1.0,"Update : stopped working after 1.4  years .. even after utmost care ..I've only used this earphones indoors and never took them out of my house now I've ever tangled it .. still it stopped working ..Writing this after 6 months of usage... Straight to the point I'd like to say isPreviously I was using mi earphones compared to that , these one have very low bass, if you're a bass lover then don't go for it, but boat bassheads 242 has a crisp and clear audio .. the quality of audio is really clearer but there's very little bass and high amount of treble.. you can see even after 6 months of usage the quality of earphone are as it was when I purchased, build quality is really really amazing.. loved it 🙌🙌"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),9.5 on 10...  The '.5' was taken by the mic😅,4.0,"Bassheads are pretty good at comfort and style💖... It has got a really crispy sound🔊... Ear budds are usefull and clip as well... Perfect for jogging and morning fitness...I found a small demerit--it's mic is a bit unsatisfying, the recording sounds need to be little more clear... When we do phone calls the person on the other line feels some discomfort in hearing our voice...After all.. boAt have made a nice piece of sound... Well done boAt and amazon👍🏼👍🏼💖💖"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),"Mic doesnot work, warranty is not honoured",1.0,"The Mic of this headphone did not work when I checked it wasn't returnable, when I went to claim warranty they asked me to come in the morning.In morning they said they don't have stock!  Visited 4 times to service centre in 4 months and i am still stuck with faulty headphones. Please avoid they are here to dupe you, their conduct at the service centre was exactly that. ( the service centre is in Mumbai )"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),A YES or a NO depending on what you are looking for.,3.0,"For the price it is definitely a steal. It is light weight and easy to carry around. The color and design is also quite nice. The bass is exceptionally good.However on the flip side there's a bit of static that is very faint at times when you plug it to your phone. Songs that have bass notes sound amazing but any song that doesn't have a heavy bass, sounds pretty off, making the listening experience unpleasant. Songs that have a stronger degree  of treble will sound shrill in your ear. Nonetheless, for the price it is a good bargain."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),boAt Bassheads 242 - Budget King 👑,4.0,"Just received this earphones from boAt and reviewed it.I was using Realme X7 Max smartphone with this earphones and had different results obtained.I played youtube and discovered it that overall the sound is very good but the basshead is Between lower to average section but in this price range the bass is decent.On the other hand, i played songs on Spotify and found that the integration with Spotify is very good and i can feel bass on average level and overall sound quality is very good as always.When i used this earphones on my laptop, i was quite shocked to see that bass was on the higher side and the volume was very as compare to the smartphone results as it was on the lower side.Verdict : You can definitely purchase it under Rs 400-500 as you will get water resistant feature and free carrying pouch with it. Also the wire quality is decent. The overall quality is very good but the bass i think is slightly on the lower side as i amba bass lover and i also found that the maximum volume was slow on my smartphone but high on my laptop so it varies on different devices you are using."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Good one.,4.0,"I don't know why everyone is hating this product.  In my opinion it's details are as follows-Pros- 1. It comes with hook that is very good to manage earphone.2. Earphone pouch is pretty decent.3. Earphone fits perfectly in ear without any chance of dropping.4. Sound quality is very good, It's not for very high bass lover, for in my opinion sound is perfectly tuned with treble and bass.5. Ear tips are very comfirtable.Cons- 1. Product quality at this price range is worse. I mean wire quality is very cheap. If you are using it very roughly then it will not last long. REALME BUDS 2 are better then it.2. For bass lover, plz go for REALME BUDS 2, which is best product under 1000.3. There is no noise cancellation, which is not even available in other earphones. So it is not a big issue.That's it. I used almost all earphone. But this is good enough and real me buds 2 is best product to buy."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Another average headphones,2.0,I received a defective product.Headphones jack cover was easily removable.I had attached it with my mobile and later on when tried to take it out cover was coming out.Images are the proofIf brand new headphones have such quality then how will we trust on Boat as brand.I have got Boat Avante 1160 speakerBoat bass head 800 over the ear headphones buy they are good. No problem with them.Realme buds 2 are better than Boat basshead 242 at price of 599 and have magnetic attachment for headphonesHowever whenever I buy a headphone with cable it also have low sound quality or it comes damaged to me.Earlier as well I have returned another headphone which got good reviews from other people who have bought it however it is not the same case with me.Kindly refund the amount so that I can go for other brand.Cable quality is good but final product doesn't seem to have gone from proper checking.Bass is not that good if compared with Realme buds 2
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),An Average product at this cost,5.0,"I have purchased the product after reading the review but sorry to say this product has not at allnfull filled my expectaion at all if i compair it from other priducts like jbl and other iternationl brands. The ear buds dosnot fullybenters in the ear so other sound can be hurd easily if onenis listening any mobile content. As an Indian company I will give 3 star rating. Qyality make 5*, wire jack, clip ,Mic 5star. Volume up and down 2 star only. Max volume 2star. Wire lenghth 3 star. This priduct does not desrev any 5 star ratings. A lot of videonreviews are avaialabale at youtube before purchasing it one must see those reviews at youtube."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Faulty jack rapidly detoriated within 10days,1.0,"Bough this and replaced it once, both times the jack was faulty. It rapidly detoriated within 10days of light usage(only at night fr an hour or so) to the point that it used to ring in one side only in most positions of the jack(started with rarely being so, n within 10days became like this). Replacement had the same story. Before this i used to own a boat 225/220 and worked for 2yrs before one side gave out. Returnd the replacement and bought boat bassheads 225/220 and it works perfectly like before.DO NOT WASTE TIME ON THIS MODEL!Go for boat bassheads 220/225(amazon n flipkart show differebt number for same model) its much better in sound quality, material n durability."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Such a premium quality product in this range.,5.0,Sound quality is ear deafening... u can use it with 70-80% more than that u cant ..or u r crazy ...BASS 5/5I feel the price is affordable.5/5The wire are very durable 5/5(Wires with nylon outer cover as of i know )the buttons 5/5I use it as a daily driver in gymit wont come unless u take it out.Cons: After using it for 60-70 minutes you will feel slight discomfort due to the ear wing and also you feel discomfort whiling using it in while on a pillow in bed.( the ear hooks are detachable) it gives more comfort.but it is the best wired headset in the range and it is better than their own 225 headphones...i highly recommend it for people who need A good bass headphones
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),"Great wired earphone, nice features, good sound quality!",5.0,"This earphone comes with great features and good quality. Wires are of good quality, nice bass quality, best in this price band of 399 INR, comes with the bonus feature of exclusive buttons for volume up - down rocker, play - pause music buttons. Sound quality is really good and volume level is sure high. Mic quality is not good at least in normal usage. Otherwise it is a value for money earphone.Update: Boat service is excellent. Once registered on their website, they pick up at doorstep and send replacement in 1-2 days to doorstep along with complete tracking info through message, mail and tracking link. Thanks to Boat for their great care and support!"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),"Just OK, could possibly find better options in the price range",3.0,"So today I got the replaced piece, from the one delivered first, there was a disturbance with movement of the wire, which also means that the earphones won't probably last too long. But the real problem was during calls, the people on the other end complained of a disturbing noise which keeps going on and off. Even with the new ones I got today, if I just rotate the 3.5 mm connector, I can hear some little disturbance which means I might face the same problem probably with these as well but I am not going through the pain of replacing these again, also to be fair I need to test these new ones a little more.The sound quality otherwise is decent, sound a bit too high I think, like 50% is good enough for me and 70-75% is too high and 100% is just not bearable for more than a second!As I said earlier, these are OK, you can buy these and you might be satisfied, but you can also look for other options in this price range."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Don’t buy it,1.0,After purchase with in 2 days the right side of earpiece stopped working then I replaced the product so please be aware not so good also mike quality is very bad. You can only replace the product with same earphones with in 7 days of purchase but no option of return.
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),It's not at all worth it major flaw in design,1.0,I have I used other boat products and was a happy customer until now. The sound quality is not bad but most likely you will not have a strong connection because of the 3.5mm jack is so slim it tends to come out all the time never stays in place if you have phone back over which we are likely to have. Major flaw in their design don't know if it's cost cutting or some failure to implement sleek design but it makes my purchase useless. Disgrace
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Unwanted noises and not up to the mark sound quality.,2.0,Quality is not up to the mark. Used with my moto one power as well as HP elitebook . Very uncomfortable noises . Sometimes hessy unwanted noises . Not very comfortable in fittings too.Now I need to buy boat 225 . I had it before and much better than this one .Only plus point is volume control and start stop option. This is working fine.I need to refund money and go for another product but only return option is available. I already returned one product but same problem in returned product.Bab buy.. I need refund of money and go for another boat product.
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Nice at first but fails soon,1.0,"In the first 4-5 months they will work perfectly and you think you cannot get such sound quality at this price. But after 6 months they started to give  a constant ""husss"" sound. After one more month it was unable to play some notes well (sound distorts while playing some notes).I have to emphasize here that the earphones were very well treated - no major bends etc in the wire - no wear on the product itself. But they will fail after 6-8 months.My previous boat earphones were boat bassheads 200 and some other bassheads in the rs500-600 category. Each of the product failed within 12 months - some failed earlier. My conclusion is that these guys spend money in tuning (Bass good) and celebrity promotions of their products compared to the actual quality of drivers which is the poorest. So after 3 failed products within the warranty I am not going to bother purchasing another boat product again."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Best accessory with best pricing.,5.0,"The media could not be loaded.
                




   One of the best product, have ever ordered for myselfFits perfectly in my ears,Clip holds the cable not to move around while working,Sound quality is too good.I have been using more than a month.Good brand with great product quality for reasonable price is rare combination. Just go for it👍"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),"Un considerable, think thrice before you buy it",3.0,"I was glad to buy boat earphones supporting Made in India, but the product did not reached my expectationsThere are many cons like1. Rubber earsfit are not soft and is available only in large size. It does hurts for small eared people. Either discontinue giving them along or provide them in every size.2. Drivers are 10mm still bass is far beyond expectations, it does not have punchy base. Can produce pro level wave vibrations.Pros:1. Design is attractive and appealing Colors.2. Water resistant3. Built Quality is good and cables doesn't tangle.4. Carrying pouch is attractive.I suggest boat to remake them around 1k or near and provide good accessories and balance Treble and bass. It's competitors like Wooky, Infinity, JBL & Skullcandy are really heart winning.Boat Baseheads 225 are in a way awesome like other competatives but they are heavy so is avoided.I wish boat a great future ahead."
